"Date","Price","Open","High","Low","Vol.","Change %"
"28-02-2020","2.960","2.960","2.960","2.960","","-0.50%"
"27-02-2020","2.975","2.975","2.975","2.975","","-1.00%"
"26-02-2020","3.005","3.005","3.005","3.005","","3.62%"
"25-02-2020","2.900","2.900","2.900","2.900","","0.87%"
"24-02-2020","2.875","2.875","2.875","2.875","","-4.01%"
"21-02-2020","2.995","2.995","2.995","2.995","","0.67%"
"20-02-2020","2.975","2.975","2.975","2.975","","-0.67%"
"19-02-2020","2.995","2.995","2.995","2.995","","0.67%"
"18-02-2020","2.975","2.975","2.975","2.975","","-15.48%"
"14-02-2020","3.520","3.520","3.520","3.520","","-0.14%"
"13-02-2020","3.525","3.525","3.525","3.525","","0.00%"
"12-02-2020","3.525","3.525","3.525","3.525","","0.00%"
"11-02-2020","3.525","3.525","3.525","3.525","","0.14%"
"10-02-2020","3.520","3.520","3.520","3.520","","-1.40%"
"07-02-2020","3.570","3.570","3.570","3.570","","0.42%"
"06-02-2020","3.555","3.555","3.555","3.555","","-1.25%"
"05-02-2020","3.600","3.600","3.600","3.600","","-2.70%"
"04-02-2020","3.700","3.700","3.700","3.700","","-0.80%"
"03-02-2020","3.730","3.730","3.730","3.730","","-7.21%"
"31-01-2020","4.020","4.020","4.020","4.020","","3.74%"
"30-01-2020","3.875","3.875","3.875","3.875","","-0.64%"
"29-01-2020","3.900","3.900","3.900","3.900","","-2.50%"
"28-01-2020","4.000","4.000","4.000","4.000","","0.00%"
"27-01-2020","4.000","4.000","4.000","4.000","","0.00%"
"24-01-2020","4.000","4.000","4.000","4.000","","0.00%"
"23-01-2020","4.000","4.000","4.000","4.000","","-0.50%"
"22-01-2020","4.020","4.020","4.020","4.020","","-1.35%"
"21-01-2020","4.075","4.075","4.075","4.075","","-1.33%"
"17-01-2020","4.130","4.130","4.130","4.130","","-1.20%"
"16-01-2020","4.180","4.180","4.180","4.180","","-21.06%"
"15-01-2020","5.295","5.295","5.295","5.295","","-0.09%"
"14-01-2020","5.300","5.300","5.300","5.300","","0.00%"
"13-01-2020","5.300","5.300","5.300","5.300","","0.00%"
"10-01-2020","5.300","5.300","5.300","5.300","","0.00%"
"09-01-2020","5.300","5.300","5.300","5.300","","-0.19%"
"08-01-2020","5.310","5.310","5.310","5.310","","0.19%"
"07-01-2020","5.300","5.300","5.300","5.300","","-0.28%"
"06-01-2020","5.315","5.315","5.315","5.315","","-1.30%"
"03-01-2020","5.385","5.385","5.385","5.385","","2.57%"
"02-01-2020","5.250","5.250","5.250","5.250","","-0.94%"
"31-12-2019","5.300","5.300","5.300","5.300","","0.95%"
"30-12-2019","5.250","5.250","5.250","5.250","","0.48%"
"27-12-2019","5.225","5.225","5.225","5.225","","-0.48%"
"26-12-2019","5.250","5.250","5.250","5.250","","-0.10%"
"24-12-2019","5.255","5.255","5.255","5.255","","-0.85%"
"23-12-2019","5.300","5.300","5.300","5.300","","-2.75%"
"20-12-2019","5.450","5.450","5.450","5.450","","-1.36%"
"19-12-2019","5.525","5.525","5.525","5.525","","-0.45%"
"18-12-2019","5.550","5.550","5.550","5.550","","0.45%"
"17-12-2019","5.525","5.525","5.525","5.525","","2.50%"
"16-12-2019","5.390","5.390","5.390","5.390","","-4.52%"
"13-12-2019","5.645","5.645","5.645","5.645","","0.09%"
"12-12-2019","5.640","5.640","5.640","5.640","","0.18%"
"11-12-2019","5.630","5.630","5.630","5.630","","0.00%"
"10-12-2019","5.630","5.630","5.630","5.630","","0.36%"
"09-12-2019","5.610","5.610","5.610","5.610","","-0.09%"
"06-12-2019","5.615","5.615","5.615","5.615","","-0.35%"
"05-12-2019","5.635","5.635","5.635","5.635","","0.00%"
"04-12-2019","5.635","5.635","5.635","5.635","","0.00%"
"03-12-2019","5.635","5.635","5.635","5.635","","0.63%"
"02-12-2019","5.600","5.600","5.600","5.600","","-0.53%"
"29-11-2019","5.630","5.630","5.630","5.630","","-1.66%"
"27-11-2019","5.725","5.725","5.725","5.725","","-0.95%"
"26-11-2019","5.780","5.780","5.780","5.780","","-1.20%"
"25-11-2019","5.850","5.850","5.850","5.850","","-1.27%"
"22-11-2019","5.925","5.925","5.925","5.925","","0.68%"
"21-11-2019","5.885","5.885","5.885","5.885","0.23K","-1.09%"
"20-11-2019","5.950","5.950","5.950","5.950","0.15K","0.76%"
"19-11-2019","5.905","5.905","5.905","5.905","","-0.76%"
"18-11-2019","5.950","5.950","5.950","5.950","0.11K","-2.14%"
"15-11-2019","6.080","6.080","6.080","6.080","","0.00%"
"14-11-2019","6.080","6.080","6.080","6.080","","0.00%"
"13-11-2019","6.080","6.080","6.080","6.080","","1.00%"
